country,year,church2,cc,gini_net,rgdpl
Belgium,1984,,Belgium,22.64879,21.95769
Belgium,1985,13.07351,Belgium,22.7,22.29981
Belgium,1986,,Belgium,22.84311,22.77339
Belgium,1987,,Belgium,22.98465,23.37398
Belgium,1988,10.60606,Belgium,23.2,24.47027
Belgium,1989,15.81038,Belgium,23.1981,25.3633
Belgium,1990,23.99607,Belgium,23.27,26.20477
Belgium,1991,17.61658,Belgium,22.82627,26.51233
Belgium,1992,8.84913,Belgium,22.4,26.8304
Belgium,1993,12.12815,Belgium,23.174,26.29237
Belgium,1994,16.34216,Belgium,24.42347,27.18926
Belgium,1995,3.125,Belgium,26.6,27.68027
Belgium,1996,3.780965,Belgium,25.48208,27.98187
Belgium,1997,,Belgium,25,29.0338
Belgium,1998,3.081414,Belgium,25.89007,29.48265
Belgium,1999,18.70694,Belgium,26.7914,30.44923
Belgium,2000,,Belgium,27.9,31.48179
Belgium,2001,,Belgium,26.9566,31.57499
Belgium,2002,11.23409,Belgium,26.36617,31.88059
Belgium,2003,,Belgium,25.77574,32.05879
Belgium,2004,9.61652,Belgium,25.36248,33.09001
Belgium,2005,,Belgium,25.41214,33.71987
Belgium,2006,9.433963,Belgium,25.33022,34.6174
Belgium,2007,,Belgium,25.01287,35.57398
Belgium,2008,8.170907,Belgium,25.15233,36.09933
Bulgaria,1990,5.500982,Bulgaria,22.72147,6.456923
Bulgaria,1991,,Bulgaria,25.81981,6.386628
Bulgaria,1992,,Bulgaria,27.8359,6.002017
Bulgaria,1993,,Bulgaria,28.89769,6.048465
Bulgaria,1994,,Bulgaria,28.42337,6.206571
Bulgaria,1995,3.865928,Bulgaria,29.37227,6.424454
Bulgaria,1996,2.371542,Bulgaria,27.83871,5.872672
Bulgaria,1997,7.182836,Bulgaria,27.56652,5.616853
Bulgaria,1998,,Bulgaria,25.56196,5.844852
Bulgaria,1999,9.547739,Bulgaria,25.12334,6.027189
Bulgaria,2000,,Bulgaria,24.09009,6.425663
Bulgaria,2001,,Bulgaria,24.51417,6.738568
Bulgaria,2002,,Bulgaria,24.0828,7.219992
Bulgaria,2003,4.490178,Bulgaria,24.66968,7.604159
Bulgaria,2004,,Bulgaria,25.42691,8.072845
Bulgaria,2005,5.8876,Bulgaria,27.59195,9.187833
Bulgaria,2006,6.163014,Bulgaria,30.53547,9.824455
Bulgaria,2007,,Bulgaria,32.79706,10.52931
Bulgaria,2008,5.60054,Bulgaria,34.81786,11.19185
Bulgaria,2009,6.757991,Bulgaria,35.17319,10.92252
Canada,1982,30.7815,Canada,28.85834,23.0985
Canada,1983,,Canada,29.31562,23.57777
Canada,1984,40.04224,Canada,29.26626,24.65519
Canada,1985,,Canada,28.99961,25.57167
Canada,1986,,Canada,28.54823,26.01621
Canada,1987,,Canada,28.3,26.77402
Canada,1988,,Canada,27.64547,27.64007
Canada,1989,,Canada,27.26085,27.93299
Canada,1990,26.8137,Canada,27.52831,27.64662
Canada,1991,,Canada,28.1,26.80403
Canada,1992,,Canada,27.98053,26.73444
Canada,1993,22.01152,Canada,28.16337,27.05264
Canada,1994,,Canada,28.4,28.00217
Canada,1995,18.98898,Canada,28.67783,28.46112
Canada,1996,17.17428,Canada,28.96279,28.62396
Canada,1997,,Canada,29.1,29.65259
Canada,1998,,Canada,31.1,30.62942
Canada,1999,,Canada,31.09273,32.06335
Canada,2000,23.99789,Canada,31.5,33.46235
Canada,2001,22.35188,Canada,31.54675,33.69068
Canada,2002,,Canada,31.67828,34.37586
Canada,2003,,Canada,31.72795,34.78879
Canada,2004,24.19488,Canada,31.8,35.64283
Canada,2005,,Canada,31.92331,36.44909
Canada,2006,23.26476,Canada,32.10001,37.1812
Chile,1990,23.76667,Chile,51.95399,5.650817
Chile,1991,,Chile,51.632,5.992384
Chile,1992,,Chile,51.52831,6.644143
Chile,1993,,Chile,50.94807,7.01271
Chile,1994,,Chile,51.45036,7.343416
Chile,1995,,Chile,51.47533,8.069915
Chile,1996,25,Chile,52.20377,8.597692
Chile,1997,,Chile,52.19881,9.085252
Chile,1998,20.52003,Chile,52.21823,9.27206
Chile,1999,,Chile,51.9452,9.136523
Chile,2000,31.32938,Chile,51.47354,9.45084
Chile,2001,,Chile,51.1993,9.693109
Chile,2002,22.60638,Chile,50.92507,9.790956
Chile,2003,22.12625,Chile,50.37936,10.08183
Chile,2004,,Chile,49.68658,10.66401
Chile,2005,22.3026,Chile,48.9938,11.21925
Chile,2006,20.33223,Chile,48.25936,11.64531
Chile,2007,,Chile,48.73933,12.13542
Chile,2008,20.09472,Chile,49.21931,12.57483
Cyprus,1996,8,Cyprus,24.48223,15.53059
Cyprus,1997,,Cyprus,26.8965,15.53144
Cyprus,1998,3.952096,Cyprus,27.07771,16.067
Cyprus,1999,,Cyprus,27.25892,16.54086
Cyprus,2000,,Cyprus,27.44013,17.21964
Cyprus,2001,8.846918,Cyprus,27.62134,17.59199
Cyprus,2002,,Cyprus,27.80255,17.70422
Cyprus,2003,,Cyprus,27.98376,17.66754
Cyprus,2004,10.2,Cyprus,28.64482,18.12475
Cyprus,2005,,Cyprus,29.30589,18.37882
Cyprus,2006,21.24611,Cyprus,29.60766,18.76031
Cyprus,2007,,Cyprus,29.69076,19.46316
Cyprus,2008,23.37421,Cyprus,29.31603,19.85297
Czech Republic,1990,6.297503,Czech Republic,20.48654,16.45634
Czech Republic,1991,8.408551,Czech Republic,20.96412,13.97027
Czech Republic,1992,,Czech Republic,20.7,13.76737
Czech Republic,1993,,Czech Republic,22.16437,14.0583
Czech Republic,1994,7.127882,Czech Republic,23.37734,14.56102
Czech Republic,1995,5.040504,Czech Republic,24.40395,15.37105
Czech Republic,1996,5.636364,Czech Republic,25.9,16.20198
Czech Republic,1997,,Czech Republic,25.37119,16.18527
Czech Republic,1998,9.249563,Czech Republic,25.44571,16.11311
Czech Republic,1999,7.716997,Czech Republic,25.55328,16.39614
Czech Republic,2000,,Czech Republic,26.12981,16.93205
Czech Republic,2001,6.333333,Czech Republic,25.95093,17.48195
Czech Republic,2002,8.961912,Czech Republic,26.32441,17.92117
Czech Republic,2003,5.956113,Czech Republic,26.41291,18.65274
Czech Republic,2004,6.62193,Czech Republic,26.6,19.56643
Czech Republic,2005,,Czech Republic,26.35188,20.696
Czech Republic,2006,7.493755,Czech Republic,26.0948,22.10472
Czech Republic,2007,,Czech Republic,25.13285,23.51881
Czech Republic,2008,7.025136,Czech Republic,25.18013,24.0615
Czech Republic,2009,6.547315,Czech Republic,24.85491,23.05944
Denmark,1971,10.69477,Denmark,26.0922,18.10628
Denmark,1972,,Denmark,26.33082,18.62346
Denmark,1973,,Denmark,26.47697,19.43145
Denmark,1974,,Denmark,26.21242,19.0952
Denmark,1975,,Denmark,25.48189,18.86207
Denmark,1976,4.222451,Denmark,25.40882,20.15785
Denmark,1977,3.836572,Denmark,25.76803,20.46106
Denmark,1978,2.517623,Denmark,26.12724,20.87071
Denmark,1979,8.836973,Denmark,26.48645,21.61429
Denmark,1980,1.697454,Denmark,26.84566,21.35497
Denmark,1981,2.487751,Denmark,27.20487,21.2429
Denmark,1982,,Denmark,26.5813,22.01009
Denmark,1983,,Denmark,26.05326,22.54716
Denmark,1984,,Denmark,25.30363,23.50057
Denmark,1985,3.024293,Denmark,24.94245,24.54894
Denmark,1986,,Denmark,25.05849,25.88594
Denmark,1987,,Denmark,25.4,25.86824
Denmark,1988,2.282878,Denmark,25.63111,25.82104
Denmark,1989,2.366716,Denmark,25.80678,25.98919
Denmark,1990,2.747925,Denmark,25.89666,26.30417
Denmark,1991,2.833333,Denmark,24.83742,26.56638
Denmark,1992,1.225,Denmark,23.6,26.98564
Denmark,1993,1.733333,Denmark,23.10812,26.82664
Denmark,1994,3.393214,Denmark,22.49769,28.28546
Denmark,1995,0.58,Denmark,21.8,29.07759
Denmark,1996,1.332445,Denmark,22.055,29.72717
Denmark,1997,,Denmark,22.18692,30.64781
Denmark,1998,1.623235,Denmark,22.28349,31.2691
Denmark,1999,2.654867,Denmark,22.39482,31.94044
Denmark,2000,,Denmark,22.5,33.11322
Denmark,2001,1.469451,Denmark,22.5571,33.19891
Denmark,2002,2.734108,Denmark,22.61042,33.27729
Denmark,2003,1.28593,Denmark,22.76181,33.26435
Denmark,2004,3.079076,Denmark,22.8,33.86326
Denmark,2005,1.854975,Denmark,23.59887,34.70007
Denmark,2006,3.607896,Denmark,24.21162,35.87249
Denmark,2007,,Denmark,25.08922,36.33575
Denmark,2008,2.701617,Denmark,25.76099,35.87624
Denmark,2009,2.874743,Denmark,26.46745,33.92914
Estonia,1996,3.627451,Estonia,35.93178,8.122738
Estonia,1997,,Estonia,35.50616,9.019996
Estonia,1998,,Estonia,35.30376,9.419322
Estonia,1999,3.647416,Estonia,35.61781,9.480838
Estonia,2000,,Estonia,36.1,10.44691
Estonia,2001,,Estonia,35.4254,11.14278
Estonia,2002,,Estonia,35.10341,12.16893
Estonia,2003,,Estonia,34.9562,13.23069
Estonia,2004,4.002134,Estonia,34.7,14.27643
Estonia,2005,,Estonia,33.91154,16.14217
Estonia,2006,,Estonia,32.83473,18.0055
Estonia,2007,2.44898,Estonia,32.11361,19.04744
Estonia,2008,4.373757,Estonia,31.25015,18.28764
Estonia,2009,2.533993,Estonia,31.09632,16.29404
Finland,1975,2.471315,Finland,20.87763,16.52561
Finland,1976,,Finland,21.43812,16.31581
Finland,1977,,Finland,21.80152,16.58922
Finland,1978,,Finland,21.68617,16.81051
Finland,1979,,Finland,21.57081,17.99284
Finland,1980,,Finland,21.45546,18.95234
Finland,1981,4.04908,Finland,21.34011,19.25494
Finland,1982,,Finland,21.2671,19.82244
Finland,1983,,Finland,21.19409,20.25531
Finland,1984,,Finland,21.12108,20.82928
Finland,1985,,Finland,21.04807,21.19523
Finland,1986,,Finland,21.05192,21.61102
Finland,1987,,Finland,20.9,22.28028
Finland,1988,,Finland,21.07273,23.41836
Finland,1989,,Finland,21.11755,24.73898
Finland,1990,3.767123,Finland,21.0378,24.32665
Finland,1991,,Finland,21,22.59332
Finland,1992,,Finland,20.81,21.45266
Finland,1993,,Finland,20.81542,20.83466
Finland,1994,,Finland,21.14375,21.47773
Finland,1995,0.9876065,Finland,21.7,22.57929
Finland,1996,3.008435,Finland,22.04951,23.03426
Finland,1997,,Finland,22.57052,24.5773
Finland,1998,1.555916,Finland,23.13858,26.0027
Finland,1999,,Finland,23.84673,27.02433
Finland,2000,5.03876,Finland,24.6,28.26218
Finland,2001,3.052325,Finland,24.76608,28.92552
Finland,2002,4.706504,Finland,24.97764,29.30147
Finland,2003,4.13343,Finland,25.09299,29.74985
Finland,2004,4.413105,Finland,25.2,30.78294
Finland,2005,6.442021,Finland,25.29313,31.75755
Finland,2006,4.5374,Finland,25.38251,33.0868
Finland,2007,,Finland,25.37597,34.88882
Finland,2008,3.956041,Finland,25.46561,35.12898
France,1975,8.922698,France,31.34674,18.17357
France,1976,16.8535,France,30.8343,18.98019
France,1977,14.73963,France,30.32187,19.50012
France,1978,12.26177,France,29.80943,20.18221
France,1979,,France,29.3,20.7896
France,1980,6.120385,France,29.03596,21.06036
France,1981,8.362878,France,28.8,21.10896
France,1982,,France,28.92197,21.58896
France,1983,,France,29.069,21.66033
France,1984,,France,29.2,21.81129
France,1985,6.077075,France,29.10754,22.14489
France,1986,,France,28.99904,22.72071
France,1987,,France,28.89054,23.23601
France,1988,4.663992,France,28.78205,24.1699
France,1989,7.540173,France,28.7,24.87449
France,1990,9.039573,France,27.02175,25.39223
France,1991,6.727332,France,27.46455,25.48122
France,1992,3.53146,France,27.90735,25.65501
France,1993,5.054152,France,28.35015,25.28893
France,1994,7.168694,France,28.8,25.7192
France,1995,1.376696,France,26.41288,26.12645
France,1996,1.289683,France,24.86403,26.29052
France,1997,8.079268,France,23.98123,26.71661
France,1998,6.739465,France,24.29801,27.53475
France,1999,7.649254,France,25.60821,28.31444
France,2000,,France,27.8,29.26671
France,2001,6.795422,France,26.92287,29.6367
France,2002,,France,26.83669,29.76777
France,2003,7.667742,France,26.92189,29.93261
France,2004,,France,27.40671,30.49295
France,2005,6.977399,France,28,30.97359
France,2006,6.717888,France,27.8005,31.37974
France,2007,,France,27.80282,32.01543
France,2008,6.269671,France,28.16259,31.97997
Germany,1969,25.96388,Germany,27.56095,
Germany,1970,,Germany,29.20523,16.21285
Germany,1971,,Germany,28.09013,16.67393
Germany,1972,,Germany,26.49847,17.31848
Germany,1973,21.15483,Germany,27.1,17.98267
Germany,1974,,Germany,28.39483,17.95656
Germany,1975,16.77373,Germany,28.86624,18.05334
Germany,1976,19.20516,Germany,28.04247,19.01816
Germany,1977,17.55463,Germany,27.21871,19.69267
Germany,1978,13.57323,Germany,26.4,20.35369
Germany,1979,14.16416,Germany,25.74571,21.23689
Germany,1980,13.36167,Germany,25.09648,21.41574
Germany,1981,12.34218,Germany,24.4,21.28517
Germany,1982,15.6134,Germany,25.18925,21.11584
Germany,1983,8.7,Germany,26,21.57458
Germany,1984,15.18764,Germany,26.8,22.16113
Germany,1985,10.13943,Germany,26.65942,22.63086
Germany,1986,14.13424,Germany,26.56635,23.2851
Germany,1987,11.81536,Germany,26.3532,23.71487
Germany,1988,12.11862,Germany,26.1122,24.46523
Germany,1989,10.77555,Germany,25.7,25.13404
Germany,1990,12.53078,Germany,26.45138,26.13151
Germany,1991,9.168201,Germany,26.96174,27.17759
Germany,1992,7.708203,Germany,27.4721,27.59703
Germany,1993,7.34132,Germany,27.47905,27.21001
Germany,1994,9.409825,Germany,27.3,27.82332
Germany,1995,6.978099,Germany,27.54665,28.26241
Germany,1996,6.166543,Germany,27.59156,28.44074
Germany,1997,9.245377,Germany,27.56705,28.88034
Germany,1998,7.23938,Germany,27.36863,29.4543
Germany,1999,10.96296,Germany,27.31783,30.03594
Germany,2000,7.887771,Germany,27.5,30.93254
Germany,2001,,Germany,27.61329,31.24009
Germany,2002,9.345701,Germany,27.98022,31.12988
Germany,2003,8.811958,Germany,27.9818,31.05306
Germany,2004,9.048123,Germany,27.8,31.38886
Germany,2005,,Germany,28.45459,31.61063
Germany,2006,8.01145,Germany,29.08829,32.66009
Germany,2007,,Germany,29.9,33.63822
Germany,2008,7.19524,Germany,30.05372,34.0703
Greece,1981,13.1,Greece,32.5811,17.05507
Greece,1982,,Greece,31.92327,16.76848
Greece,1983,,Greece,32.22767,16.51164
Greece,1984,,Greece,32.53207,16.75903
Greece,1985,12.95,Greece,32.83647,17.12406
Greece,1986,,Greece,32.44144,17.15926
Greece,1987,,Greece,32.04641,16.73281
Greece,1988,11.5,Greece,31.22651,17.41562
Greece,1989,15.44209,Greece,31.57839,17.99952
Greece,1990,22.0153,Greece,31.93027,17.83379
Greece,1991,22.75449,Greece,32.28215,18.15802
Greece,1992,12.67149,Greece,32.63403,18.13483
Greece,1993,15.07488,Greece,32.98591,17.75916
Greece,1994,23.25813,Greece,33.70886,18.02009
Greece,1995,4.156723,Greece,34.9,18.36475
Greece,1996,8.805032,Greece,34.33416,18.75912
Greece,1997,,Greece,34.14707,19.39458
Greece,1998,7.065038,Greece,33.88507,20.00616
Greece,1999,13.96994,Greece,33.55972,20.64579
Greece,2000,,Greece,33.3,21.54098
Greece,2001,,Greece,33.37058,22.38303
Greece,2002,,Greece,33.50526,23.19738
Greece,2003,27.43927,Greece,33.30515,24.36538
Greece,2004,,Greece,32.9,25.44951
Greece,2005,24.62971,Greece,33.14656,25.72441
Greece,2006,,Greece,33.18452,26.9314
Greece,2007,,Greece,33.15495,27.96383
Greece,2008,21.04208,Greece,32.93847,28.24705
Greece,2009,16.44378,Greece,32.81787,27.30498
Hungary,1982,22.91667,Hungary,21.88928,11.05992
Hungary,1983,,Hungary,21.53831,11.08846
Hungary,1984,,Hungary,21.18735,11.28587
Hungary,1985,,Hungary,21.77684,11.38686
Hungary,1986,,Hungary,22.36633,11.68254
Hungary,1987,,Hungary,24.3345,12.1092
Hungary,1988,,Hungary,24.76573,12.11717
Hungary,1989,,Hungary,25.22252,12.26312
Hungary,1990,12.18014,Hungary,26.8485,11.90965
Hungary,1991,13.13049,Hungary,32.3,10.85301
Hungary,1992,,Hungary,31.04546,10.68354
Hungary,1993,,Hungary,29.84561,10.92333
Hungary,1994,12.75885,Hungary,28.3,11.0502
Hungary,1995,10.8,Hungary,29.98706,10.86974
Hungary,1996,9.4,Hungary,30.84941,10.942
Hungary,1997,,Hungary,31.05153,11.44017
Hungary,1998,12.9859,Hungary,30.18691,12.06777
Hungary,1999,10.65327,Hungary,29.2,12.6337
Hungary,2000,,Hungary,28.49049,13.2613
Hungary,2001,11.87664,Hungary,27.73192,13.82459
Hungary,2002,11.11801,Hungary,27.60619,14.57113
Hungary,2003,10.18609,Hungary,27.67425,15.27486
Hungary,2004,8.695652,Hungary,28.51826,15.99277
Hungary,2005,10.62937,Hungary,28.9,16.64396
Hungary,2006,9.753738,Hungary,28.91083,17.29356
Hungary,2007,,Hungary,28.12193,17.48694
Hungary,2008,6.640326,Hungary,27.51001,17.62079
Hungary,2009,8.76494,Hungary,26.10715,16.52145
Ireland,1973,87.90659,Ireland,34.03118,11.75685
Ireland,1974,,Ireland,34.03118,11.92205
Ireland,1975,,Ireland,,11.77057
Ireland,1976,,Ireland,33.54142,12.04102
Ireland,1977,,Ireland,33.42321,12.80192
Ireland,1978,,Ireland,33.35859,13.65386
Ireland,1979,,Ireland,33.28384,14.13469
Ireland,1980,43.74379,Ireland,33.19293,14.01435
Ireland,1981,62.56705,Ireland,33.13728,14.29035
Ireland,1982,,Ireland,33.08163,14.1009
Ireland,1983,,Ireland,33.02598,13.81371
Ireland,1984,,Ireland,32.97033,14.04432
Ireland,1985,43.72831,Ireland,32.91468,14.27366
Ireland,1986,,Ireland,32.85903,14.30141
Ireland,1987,,Ireland,32.8,14.54736
Ireland,1988,41.21757,Ireland,32.87258,15.08191
Ireland,1989,68.47218,Ireland,32.94178,16.07562
Ireland,1990,72.85896,Ireland,33.01098,17.39415
Ireland,1991,71.92653,Ireland,33.08018,17.49967
Ireland,1992,37.76503,Ireland,33.14938,17.70874
Ireland,1993,50.54836,Ireland,33.21858,18.00963
Ireland,1994,71.72079,Ireland,33.3,19.01761
Ireland,1995,41.40956,Ireland,33.6,20.79666
Ireland,1996,43.28626,Ireland,32.5,22.44367
Ireland,1997,,Ireland,32.87226,24.63788
Ireland,1998,42.24292,Ireland,33.01657,26.15387
Ireland,1999,65.40755,Ireland,32.23184,28.49819
Ireland,2000,,Ireland,31.3,30.76828
Ireland,2001,,Ireland,31.06648,32.15033
Ireland,2002,0.6076055,Ireland,31.03939,33.80356
Ireland,2003,57.10191,Ireland,31.0123,35.01027
Ireland,2004,,Ireland,31.3,35.46073
Ireland,2005,54.10665,Ireland,31.1471,37.03242
Ireland,2006,,Ireland,30.98756,37.8889
Ireland,2007,23.52444,Ireland,30.3728,39.16802
Ireland,2008,43.78401,Ireland,29.99238,37.18571
Ireland,2009,44.07665,Ireland,29.3203,33.40554
Israel,1994,11.94512,Israel,32.15518,20.37762
Israel,1995,,Israel,32.9777,21.05871
Israel,1996,17.628,Israel,33.2794,21.65323
Israel,1997,,Israel,33.6,21.65148
Israel,1998,,Israel,33.84027,21.91349
Israel,1999,,Israel,34.09944,21.93408
Israel,2000,,Israel,34.3586,23.1792
Israel,2001,18.80696,Israel,34.6,22.5023
Israel,2002,19.16631,Israel,35.2184,21.81094
Israel,2003,,Israel,35.81903,21.82407
Israel,2004,20.93596,Israel,36.41967,22.46161
Israel,2005,20.36861,Israel,37,23.81429
Israel,2006,,Israel,37,24.6247
Israel,2007,,Israel,,25.47359
Israel,2008,23.25484,Israel,,26.07777
Israel,2009,20.57762,Israel,,25.55908
Italy,1968,47.99358,Italy,35.94736,13.06692
Italy,1969,,Italy,35.99623,13.74658
Italy,1970,,Italy,35.53218,14.36135
Italy,1971,,Italy,35.98129,14.50859
Italy,1972,,Italy,35.95389,14.93547
Italy,1973,47.72132,Italy,36.4902,15.89841
Italy,1974,,Italy,35.70517,16.62836
Italy,1975,27.06869,Italy,35.10614,16.07604
Italy,1976,33.46835,Italy,33.55288,17.13685
Italy,1977,33.48624,Italy,33.20484,17.46634
Italy,1978,23.36748,Italy,32.79277,17.9568
Italy,1979,,Italy,32.80454,19.01254
Italy,1980,17.44604,Italy,32.169,19.72343
Italy,1981,23.7325,Italy,30.60082,19.85523
Italy,1982,,Italy,29.99575,19.94496
Italy,1983,,Italy,29.85878,20.08478
Italy,1984,,Italy,30.74356,20.75543
Italy,1985,49.4286,Italy,31.24954,21.33382
Italy,1986,,Italy,30.6,21.97664
Italy,1987,,Italy,33.2,22.69467
Italy,1988,19.76912,Italy,32.21944,23.64407
Italy,1989,30.13832,Italy,30.3,24.44597
Italy,1990,40.00402,Italy,30.67746,24.94431
Italy,1991,41.27336,Italy,29,25.32062
Italy,1992,20.56704,Italy,31.42759,25.39995
Italy,1993,30.73984,Italy,33.9,25.25693
Italy,1994,35.27628,Italy,33.75851,25.77524
Italy,1995,20.53721,Italy,33.8,26.52563
Italy,1996,23.93245,Italy,33.88525,26.6557
Italy,1997,,Italy,34.1146,27.10476
Italy,1998,21.05145,Italy,34.6,27.42805
Italy,1999,40.44377,Italy,33.72612,27.91652
Italy,2000,,Italy,33.3,28.88165
Italy,2001,,Italy,33.36584,29.33251
Italy,2002,23.22322,Italy,33.847,29.38309
Italy,2003,31.1819,Italy,33.79395,29.23804
Italy,2004,,Italy,33.8,29.40379
Italy,2005,31.5,Italy,33.59571,29.37571
Italy,2006,31.99733,Italy,33.24747,29.91506
Italy,2007,,Italy,33.37355,30.19959
Italy,2008,32.03753,Italy,32.81247,29.50009
Italy,2009,22.04503,Italy,32.99495,27.70856
Japan,1981,3.919694,Japan,30.10011,20.92651
Japan,1982,,Japan,29.86918,21.35549
Japan,1983,,Japan,29.63416,21.55405
Japan,1984,,Japan,30.05471,22.02303
Japan,1985,,Japan,28.97874,23.0288
Japan,1986,,Japan,28.39999,23.61806
Japan,1987,,Japan,27.9924,24.37135
Japan,1988,,Japan,27.61526,25.88924
Japan,1989,,Japan,28.66383,27.08816
Japan,1990,2.579365,Japan,29.05254,28.44363
Japan,1991,,Japan,28.77818,29.21803
Japan,1992,,Japan,28.50381,29.38391
Japan,1993,,Japan,26.99578,29.35323
Japan,1994,2.861562,Japan,27.7504,29.49825
Japan,1995,3.119499,Japan,28.50503,29.96795
Japan,1996,2.293202,Japan,29.60156,30.65226
Japan,1997,,Japan,29.65563,31.00314
Japan,1998,1.848998,Japan,30.87861,30.2466
Japan,1999,,Japan,31.27254,30.08651
Japan,2000,4.095309,Japan,32.75501,30.94208
Japan,2001,2.429467,Japan,32.13329,30.97363
Japan,2002,,Japan,31.51157,30.96496
Japan,2003,2.087114,Japan,30.15607,31.30425
Japan,2004,1.833461,Japan,30.28145,32.11752
Japan,2005,3.302752,Japan,30.33875,32.76112
Japan,2006,3.15877,Japan,30.51976,33.42332
Japan,2007,,Japan,30.71483,34.22377
Japan,2008,1.683502,Japan,30.63069,33.74432
"Korea, Republic of",1982,30.7047,"Korea, Republic of",35.52226,5.856662
"Korea, Republic of",1983,,"Korea, Republic of",34.84545,6.377279
"Korea, Republic of",1984,,"Korea, Republic of",34.25332,6.898541
"Korea, Republic of",1985,,"Korea, Republic of",33.43914,7.263734
"Korea, Republic of",1986,,"Korea, Republic of",33.0597,7.884305
"Korea, Republic of",1987,,"Korea, Republic of",33.22839,8.680669
