"","ids","X.1","textToSend","Means","stanMeans","X","MetaID","treatment","pid_rep","open.ended.response","Topic1","Topic2","Topic3","max_prob123","max_prob12","anger_ra1","anger_ra2","caseid","enthusiasm_ra1","enthusiasm_ra2","fear_ra1","fear_ra2","immigrants_ra1","immigrants_ra2","legal","est1","est2","RunAll","mergeIDs","stanMeansNewSys","stanSDsNewSys","coderMeans","newDocIDS","stanMeansNewSys2","stanSDsNewSys2","stanMeansNewSysPooled","stanSDsNewSysPooled"
"25",6628,23,"i firmly believe that the u.s. is a melting pot of nationalities and races -- people of different ethnic backgrounds blending into one rich culture - without losing the distinctiveness of their own culture.  in order to accomplish this safely and effectively:  1)immigrants must be in our country legally  2)immigrants need to learn our language  3) immigrants need to obey our laws. fears about illegal immigrants: terrorism, criminal activities, heavy drain on social services & medical services, weighing down the public school systems esl & other special needs.",0.6,0.563572679887625,23,0,1,0.66667,"i firmly believe that the u.s. is a melting pot of nationalities and races -- people of different ethnic backgrounds blending into one rich culture - without losing the distinctiveness of their own culture.  in order to accomplish this safely and effectively:  1)immigrants must be in our country legally  2)immigrants need to learn our language  3) immigrants need to obey our laws. fears about illegal immigrants: terrorism, criminal activities, heavy drain on social services & medical services, weighing down the public school systems esl & other special needs.",0.4453771874,0.4590335612,0.0955892515,2,2,0,1,340,1,1,2,2,0,0,1,0.187812987494418,0.198995134343757,0.210445161435848,72,1.83292399303065,0.467931901508931,2,10357,0.889971086989306,0.364046355453538,1.3347554789422,0.277797517984921
"26",6629,24,"illegal immigration is a drain on the welfare system, although it seems to provide laborers for jobs americans don't want, legal immigration brings  technically skilled workers (h-1b), my great grandparents, and other people who can contribute to the country.",0.45,-1.30102667311181,24,0,0,0.833,"illegal immigration is a drain on the welfare system, although it seems to provide laborers for jobs americans don't want, legal immigration brings  technically skilled workers (h-1b), my great grandparents, and other people who can contribute to the country.",0.4535561985,0.3717605666,0.1746832349,1,1,0,0,109,2,1,1,1,0,0,1,-0.443457689143938,-0.271814473189413,-0.310567236408354,99,0.916449943197979,0.295084476663072,1,10358,0.881856483985771,0.322943443978487,0.889495910062929,0.226392924431987
"27",6630,25,"that all the silliness about immigration will alter the fundamental character of the us as the melting pot nation.",0.2,-2.91376762063401,25,0,1,0.5,"that all the silliness about immigration will alter the fundamental character of the us as the ""melting pot"" nation.",0.6546124031,0.1836456859,0.161741911,1,1,0,0,217,0,0,0,1,0,2,0,-0.986497475986283,-1.42978055933733,-1.26967146586984,263,-1.29744056214267,0.386785060492287,0.5,10359,-0.600309263611887,0.324365398739319,-0.978639729127552,0.260726154202855
"28",6631,26,"jobs crime taxes",0.85,2.8962169423437,26,0,1,1,"jobs crime taxes",0.1026893999,0.8110667733,0.0862438268,2,2,0,0,393,0,0,2,2,0,0,0,0.974519828230976,0.717759170466529,0.914308901472549,163,0.0662815655477074,0.295023664647045,2,10360,0.170170832528058,0.352949168251862,0.105383127122678,0.237208779515025
"29",6632,27,"ellis island, illegal immigration, new world, fences",0.3,-1.12431751060414,27,0,0,0.333,"ellis island, illegal immigration, new world, fences",0.4054043001,0.0920603756,0.5025353244,3,1,0,0,368,0,0,0,0,0,0,0,-0.383735928932822,-0.653677187588787,-0.497956445474856,45,-0.219007475597481,0.287291902296809,0,10361,0.730528037554754,0.353686073879803,0.157453123271902,0.231339043099622
"30",6633,28,"illegals; social security; benefits",0.55,0.441509648192434,28,0,0,1,"illegals; social security; benefits",0.2453906369,0.616408491,0.1382008722,2,2,0,0,328,0,0,1,1,0,0,0,0.150001153760909,-0.146882074636758,-0.0215081973451602,108,0.527779011300366,0.284357335329459,1,10362,0.631002583764828,0.312624936452677,0.549430349048552,0.224894581834726
"31",6634,29,"i come from legal immigrant parents. i believe that at this point of war and the economy looking as it is going down, immigration is not a good idea. besides this immigration is what has made the us what it is today. you can experince and live so many cultures.",0.25,-2.26463500294715,29,0,0,0.16667,"i come from legal immigrant parents. i believe that at this point of war and the economy looking as it is going down, immigration is not a good idea. besides this immigration is what has made the us what it is today. you can experince and live so many cultures.",0.406967517,0.0662378632,0.5267946197,3,1,0,0,256,1,1,1,1,0,0,1,-0.768762228255625,-0.951048135813009,-0.866814887269834,64,-0.124310366491499,0.298508409943183,1,10363,-0.773294478899428,0.345280378943668,-0.501203836539755,0.236950170109725
"32",6635,30,"people who come to the us to take advantage of the american dream and opportunities. unfortunately, many come over and do not become us citizens but are able to use tax-payer money to pay for their healthcare and welfare.",0.75,1.56488947069218,30,0,0,0.16667,"people who come to the us to take advantage of the american dream and opportunities. unfortunately, many come over and do not become us citizens but are able to use tax-payer money to pay for their healthcare and welfare.",0.0963450276,0.4541189529,0.4495360194,2,2,1,1,105,1,1,0,1,0,0,0,0.525032533671651,0.122009298919795,0.396243266137196,235,0.190955694047585,0.287970696935766,0.5,10364,0.529467622006529,0.292775834708629,0.338106033309979,0.20986591729566
"33",6636,31,"i worry about the republican party doing something very stupid.  this country was built on immigration, to deny anyone access to citizenship is unconstitutional.  what happened to give me your poor, sick, and tired?",0.3,-3.40631913016558,31,0,1,0.16667,"i worry about the republican party doing something very stupid.  this country was built on immigration, to deny anyone access to citizenship is unconstitutional.  what happened to give me your poor, sick, and tired?",0.5777351822,0.1086308846,0.3136339332,1,1,0,1,466,1,0,0,1,2,2,0,-1.148026207096,-1.80121820263419,-1.60910903283558,155,-0.453319553615382,0.289083868848875,0.5,10365,-0.136309708285536,0.286057928809256,-0.282891983960603,0.208379774352763
"34",6637,32,"finding teachers with multi-cultural/multi-lingual skills",0.2,-2.62074390018716,32,0,1,0.16667,"-finding teachers with multi-cultural/multi-lingual skills",0.483866939,0.2719164186,0.2442166424,1,1,0,0,321,0,0,0,1,1,0,0,-0.882614631231267,-1.13945924610525,-1.08472736898395,52,-0.726519104459915,0.29967088186335,0.5,10366,-1.16764871190312,0.397554368911579,-1.02587053986353,0.259233329833078
"35",6638,33,"wages being depressed. criminals coming into the us.",0.6,1.21584540908218,33,0,1,0.333,"wages being depressed. criminals coming into the us.",0.1653870451,0.5497027778,0.2849101771,2,2,0,0,22,0,0,1,1,0,0,0,0.409206145747782,0.72404920085607,0.638732352972675,314,0.456706412495089,0.333410901333208,1,10367,0.0384733309334385,0.306757341535091,0.2380801341922,0.213258036324138
"36",6639,34,"leaching on our social structure, hospitals, welfare, jails--all the things we pay taxes for that they do not more tererism",0.9,4.77919017138295,34,0,1,0.66667,"leaching on our social structure, hospitals, welfare, jails--all the things we pay taxes for that they do not
more tererism",0.0676395193,0.8713774156,0.0609830651,2,2,1,2,103,0,0,2,2,0,0,0,1.61285818751194,1.69183486959485,1.85611545479525,175,1.5532311361207,0.423430374044968,2,10368,0.686831182552417,0.321687343707383,1.14161796250461,0.251945854436609
"37",6640,35,"conflicts between working class, illegal profits for companies hiring undocumented immigrants, low job wages, more immigration, overpopulation and competition for jobs.",0.8,3.53893624607803,35,0,1,0,"conflicts between working class, illegal profits for companies hiring undocumented immigrants, low job wages, more immigration, overpopulation and competition for jobs.",0.3898549296,0.4881193759,0.1220256945,2,2,0,0,238,0,0,2,2,0,1,0,1.18881413351496,0.358564692814457,0.772209772562007,28,1.2330244282011,0.362787112510865,2,10369,1.04472175560423,0.382552710885971,1.19371881870027,0.277102017963253
"38",6641,36,"people crossing the border illegally.",0.4,-0.0400896452112748,36,0,0,0.333,"people crossing the border illegally.",0.6495386657,0.0883723053,0.262089029,1,1,0,0,80,0,0,0,0,0,0,0,-0.0166956293717072,-0.437289217554422,-0.287896481095312,224,-0.770189840238339,0.33741774504413,0,10370,-0.491280229172074,0.328675116435514,-0.630291560027383,0.235462944117574
"39",6642,37,"poor economy",0.45,-0.285320414784672,37,0,0,1,"poor economy",0.5134490783,0.1268409644,0.3597099574,1,1,0,0,119,0,0,1,1,0,0,0,-0.0979043004419729,-0.346057885816556,-0.29099633686091,236,-0.048980426251532,0.273472987870615,1,10371,-0.635810740467546,0.325416938350701,-0.216099111392058,0.225958943796267
"40",6643,38,"my parents were immigrants from ireland.  everyone has a right to apply for entrance.  we are a nation of immigrants - except for native americans!",0.1,-5.31700938924573,38,0,0,0.333,"my parents were immigrants from ireland.  everyone has a right to apply for entrance.  we are a nation of immigrants - except for native americans!",0.5261103568,0.0929691361,0.380920507,1,1,0,0,258,2,1,0,0,0,0,1,-1.79636838871915,-2.18496262282781,-2.40901638852381,204,-1.34852824445204,0.409017512272746,0,10372,-1.38494086895723,0.412984982968272,-1.60427471180901,0.292439179089275
"41",6644,39,"the mexican border illegal aliens from other countries people getting a chance to have a decent life people like our country better than theirs",0.4,-3.27580559194541,39,0,0,0.16667,"the mexican border
illegal aliens from other countries
people getting a chance to have a decent life
people like our country better than theirs",0.5316561222,0.0524257513,0.4159181265,1,1,0,0,74,1,1,0,0,0,1,0,-1.10671717193371,-0.741691164827618,-0.892263655261488,287,-1.41951799529228,0.372048071011902,0,10373,-0.881669382182426,0.340112145758844,-1.21314720192032,0.26412984375385
"42",6645,40,"i don't think we should legalize aliens smuggled in to usa.",0.368421052631579,-1.43653468310407,40,0,0,0,"i don't think we should legalize aliens smuggled in to usa.",0.5792944064,0.0805078311,0.3401977626,1,1,0,1,213,0,0,1,0,0,0,0,-0.486402734633007,-0.817691441556485,-0.70410023944422,70,-0.637505372367329,0.359477583022408,0.5,10374,-0.586852314659549,0.316171155475556,-0.646566351884943,0.238613483425076
"43",6646,41,"as an arizona resident who lives 18 miles from the mexican-us border, and who has also spoken to some of these illegals while hiking in the huachuca mtns., i know these people, mostly, come here out of sheer desperation.  sure, some are the same lazy, fat, undereducated jerks that lurk around our own mid-level businesses.  but most simply are people who want what we all do: a comfortable life with as little thinking and suffering as possible, while reproducing at will.  they have told me, babies in arms,that if they remain at home, they have no future but an early death.  that they, maybe, should reduce their birth rate and/or not have children at all, if they cannot support them, simply will never occur to citizens of a catholic country, living a day's walk from a rich country that can be easily milked for what they consider a fortune in life support.  there is no answer to this, so long as 95% of mexico's wealth is controlled by 5% of its people, and the only riches the others have lie in their children.",0.2,-1.67970933305084,41,0,0,0.333,"as an arizona resident who lives 18 miles from the mexican-us border, and who has also spoken to some of these illegals while hiking in the huachuca mtns., i know these people, mostly, come here out of sheer desperation.  sure, some are the same lazy, fat, undereducated jerks that lurk around our own mid-level businesses.  but most simply are people who want what we all do: a comfortable life with as little thinking and suffering as possible, while reproducing at will.  they have told me, babies in arms,that if they remain at home, they have no future but an early death.  that they, maybe, should reduce their birth rate and/or not have children at all, if they cannot support them, simply will never occur to citizens of a catholic country, living a day's walk from a rich country that can be easily milked for what they consider a fortune in life support.  there is no answer to this, so long as 95% of mexico's wealth is controlled by 5% of its people, and the only riches the others have lie in their children.",0.5511125281,0.0349828935,0.4139045784,1,1,0,0,241,0,0,0,2,2,1,0,-0.571716656625873,-0.580149813332193,-0.624482648073827,12,-0.0217319161563823,0.276358559793201,1,10375,0.18299675649662,0.307922352087823,0.073093603735022,0.210246077730875
"44",6647,42,"the only thing that makes me worry is the econany. immigration did not that happen yrars ago. i know all men are not equal. the rich get richer the poore get poorer. are we not all gods children?",0.45,-0.599575262253335,42,0,1,0,"the only thing that makes me worry is the econany. immigration did not that happen yrars ago. i know all men are not equal. the rich get richer the poore get poorer. are we not all gods children?",0.5631567549,0.1436814794,0.2931617657,1,1,0,0,383,0,0,1,1,0,1,0,-0.205471627686585,-0.494173166896426,-0.40422772288538,289,0.00217307615057769,0.286930679842768,1,10376,0.185796028849423,0.314846353815016,0.0281749835819205,0.242524490112964
"45",6648,43,"the strain on the taxpayer in terms of welfare programs.",0.65,1.07908277910382,43,0,1,0.5,"the strain on the taxpayer in terms of welfare programs.",0.1183585993,0.7753539865,0.1062874142,2,2,0,0,396,0,0,1,1,0,0,0,0.361356822716959,-0.0179318648264606,0.131240240204959,296,-0.0120598685753808,0.278558345910531,1,10377,-0.406609493603679,0.334984544620974,-0.192647181409955,0.223617123015277
"46",6649,44,"english not being the common language.",0.5,-0.756001784920626,44,0,1,0,"english not being the common language.",0.2101095761,0.3143836614,0.4755067625,3,2,0,0,10,0,0,1,1,0,0,0,-0.253643267684303,-0.610075898257172,-0.455792022396989,47,-0.896218568884454,0.350051499369748,1,10378,-0.852542824723677,0.34047552776424,-0.982710869996835,0.258901815902528
"47",6650,45,"if it legal im fine with it.",0.05,-6.36266063168557,45,0,0,0.333,"if it legal im fine with it.",0.6595563752,0.1008452981,0.2395983267,1,1,0,0,30,1,0,0,0,0,0,1,-2.14317163493671,-1.65873321034105,-2.1417404692461,73,-1.65118765628811,0.427435644784809,0,10379,-1.98174179636953,0.471854710757527,-2.07787741219787,0.389274915545166
"48",6651,342,"nothing",0.0333333333333333,-5.45775587782998,341,0,1,0.5,"nothing",0.183830515,0.6495407768,0.1666287082,2,2,0,0,446,0,0,0,0,0,0,0,-1.83995203440106,-2.4774392258558,-2.25575305180115,209,-2.22829807332478,0.551439056481811,0,10380,-1.58380435129398,0.417828638641291,-2.20140900137355,0.406985689912855
"49",6651,155,"nothing",0.0333333333333333,-5.45775587782998,155,0,0,0.333,"nothing",0.3288956369,0.3965222896,0.2745820734,2,2,0,0,101,0,0,0,0,0,0,0,-1.83995203440106,-2.4774392258558,-2.25575305180115,209,-2.22829807332478,0.551439056481811,0,10380,-1.58380435129398,0.417828638641291,-2.20140900137355,0.406985689912855
"50",6651,46,"nothing",0.0333333333333333,-5.45775587782998,46,0,1,0,"nothing",0.2049202162,0.5904153927,0.204664391,2,2,0,0,157,0,0,0,0,0,0,0,-1.83995203440106,-2.4774392258558,-2.25575305180115,209,-2.22829807332478,0.551439056481811,0,10380,-1.58380435129398,0.417828638641291,-2.20140900137355,0.406985689912855
"51",6652,47,"immigrants who dont contribute to society or bring bad things to our country.",0.7,2.68358453862998,47,0,1,0.66667,"immigrants who dont contribute to society or bring bad things to our country.",0.4738581893,0.286926702,0.2392151087,1,1,1,1,254,0,0,1,1,0,0,0,0.901812378040914,0.165577088964696,0.562941053366443,114,0.467759371753579,0.277911873403341,1,10381,0.104811436728302,0.309589012068748,0.315106363524711,0.215410544757893
"52",6653,48,"that they will take our jobs!",0.65,1.57990913207109,48,0,1,0.5,"that they will take our jobs!",0.2744029996,0.5719418332,0.1536551673,2,2,1,1,40,0,0,1,1,0,0,0,0.533179156796063,1.02288224664378,0.783444201351092,272,0.317888962042415,0.2876803370077,1,10382,-0.603018689388907,0.316088028210059,-0.0928237781697802,0.219860158769671
"53",6654,49,"increased poverty due to more people in the us and less jobs. increased death/robbery when the poor get desperate and turn to crime.",0.9,5.6056664524678,49,0,1,0,"increased poverty due to more people in the us and less jobs.
increased death/robbery when the poor get desperate and turn to crime.",0.1669330837,0.5786095414,0.2544573748,2,2,0,0,124,0,0,1,2,0,0,0,1.88454114465406,1.3579790871127,1.64916042474739,122,1.05048893242858,0.330450609511852,1.5,10383,1.03306901849518,0.356268282145437,1.16553862842676,0.266734958866452
"54",6655,50,"people from other countries trying to come here to live or work and they don't always have the proper paper work",0.25,-1.90050685067029,50,0,0,0.333,"people from other countries trying to come here to live or work and they don't always have the proper paper work",0.1837653816,0.0614302143,0.7548044041,3,1,0,0,156,0,0,0,1,0,0,1,-0.641311488116122,-0.886912644409946,-0.766384754452439,230,-0.933190899579621,0.323011403287814,0.5,10384,-0.561604256496412,0.310088725254511,-0.745390431070461,0.23059426758555
"55",6656,51,"crime, taxes",0.75,2.18001538038502,51,0,1,0.66667,"crime
taxes",0.1339969999,0.7465715101,0.11943149,2,2,0,0,325,0,0,1,1,0,0,0,0.731101726086761,0.603192341673349,0.577735972810207,36,0.384299754996637,0.295053384928991,1,10385,0.537430499181957,0.322523737900855,0.540186583045879,0.228752543002393
"56",6657,52,"how some of the illegal immigrants get more help from the government than the u.s. citizens who are paying taxes.",0.7,1.01644514416619,52,0,1,0.16667,"how some of the illegal immigrants get more help from the government than the u.s. citizens who are paying taxes.",0.237825561,0.4500965888,0.3120778502,2,2,1,1,72,0,0,0,1,0,0,0,0.343044863315028,-0.941753599347616,-0.205083679656581,56,-0.311439659166511,0.288905353690067,0.5,10386,0.185520494135026,0.326319424197134,-0.118880839937327,0.221032094974294
